year,month,day,tempavg,DPavg,humidity avg,SLPavg,visibilityavg,windavg,Rainfall
2011,1,4,23,16,70,1012,4,11,0
2011,1,5,24,17,70,1014,3,17,0
2011,1,21,24,11,60,1014,3,5,0.09
2011,1,14,23,13,53,1016,3,3,0.03
2011,1,20,31,16,74,1011,3,3,0
2011,1,30,26,15,43,1010,4,6,0
2011,1,31,22,12,57,1012,3,3,0.09
2011,1,30,23,13,42,1014,4,3,0.08
2011,1,17,24,17,80,1013,6,3,0.05
2011,2,20,22,15,49,1014,3,5,0
2011,2,18,24,13,43,1009,3,6,0
2011,2,5,25,26,41,1011,4,10,0
2011,2,10,24,9,59,1016,4,6,0
2011,2,10,26,16,59,1014,6,3,0.05
2011,2,12,22,11,42,1012,4,3,0
2011,2,7,21,16,44,1012,4,6,0
2011,2,6,31,16,70,1013,3,6,0
2011,2,6,23,13,39,1016,3,4,0
2011,2,11,28,15,53,1012,3,8,0
2011,2,18,23,11,42,1015,3,6,0
2011,2,16,26,25,74,1002,5,6,0
2011,2,22,23,13,72,1010,3,8,0.05
2011,2,10,22,13,53,1011,4,6,0.09
2011,2,3,20,15,47,1011,4,1,0
2011,2,5,23,11,56,1012,3,3,0
2011,2,4,26,22,54,1008,4,8,0
2011,2,5,20,20,69,1014,3,8,0.08
2011,2,22,27,21,71,1008,4,3,0
2011,2,20,24,11,51,1016,4,3,0
2011,2,24,29,22,71,1008,3,2,0.18
2011,2,20,22,20,44,1014,2,8,0
2011,2,5,21,15,39,1015,3,4,14.73
2011,2,7,23,13,52,1010,3,8,0
2011,2,20,23,16,40,1013,3,6,0
2011,2,6,24,15,56,1013,4,3,0
2011,2,28,23,16,76,1014,4,13,0
2011,2,23,22,13,42,1011,3,3,0
2011,3,1,27,24,72,1000,4,8,0.19
2011,3,21,23,12,37,1014,3,6,0.17
2011,3,7,23,18,74,1008,4,6,0.05
2011,3,23,29,26,77,1001,5,10,2.07
2011,3,18,26,23,74,1000,6,8,0
2011,3,23,23,22,77,1012,4,2,0
2011,3,11,23,26,64,1014,6,11,0
2011,3,28,29,24,41,1009,5,13,0
2011,3,30,30,26,80,1003,5,8,0
2011,3,13,23,10,81,1012,3,6,0
2011,3,4,28,19,57,1014,3,3,0.22
2011,3,22,24,11,40,1011,5,8,0.2
2011,3,28,23,23,60,1008,4,6,0
2011,4,23,26,24,83,1009,5,10,1.02
2011,4,12,22,23,74,1007,5,3,0
2011,4,21,27,22,53,1005,6,14,0
2011,4,18,31,25,72,1011,6,8,1.9
2011,4,18,29,16,75,1012,4,8,0
2011,4,28,26,14,46,1012,4,2,0
2011,4,10,29,22,66,1012,4,5,0
2011,4,3,28,26,78,997,6,10,0
2011,4,27,24,13,56,1014,4,3,0
2011,4,3,28,25,89,1006,5,8,1.91
2011,4,19,26,14,77,1011,6,3,0.16
2011,4,5,24,15,69,1011,4,3,0
2011,4,26,29,16,45,1014,3,3,0
2011,4,4,31,21,58,1011,4,8,0
2011,4,28,27,22,81,1005,4,6,0
2011,4,27,23,18,61,1013,2,6,0.17
2011,4,3,26,22,75,1009,4,8,5.5
2011,4,31,23,9,43,1014,4,3,0.17
2011,4,16,24,24,72,1013,3,10,0
2011,4,2,23,21,80,1010,4,6,0.07
2011,4,7,23,11,78,1014,4,11,0
2011,4,24,22,14,53,1009,3,3,0.07
2011,4,22,28,17,79,1010,4,8,0.09
2011,4,1,26,26,73,1011,6,14,0.02
2011,4,12,23,23,71,1008,4,8,0
2011,4,4,24,22,46,1010,4,0,0.21
2011,4,24,27,24,79,1001,4,14,0
2011,5,18,31,13,74,1011,2,10,0.1
2011,5,17,31,24,75,1005,6,11,0
2011,5,16,30,26,75,1004,6,6,0
2011,5,5,29,26,55,1002,6,11,0
2011,5,20,30,25,88,1000,6,11,0
2011,5,9,30,26,78,1001,5,11,7.56
2011,5,17,27,26,75,1009,6,8,0
2011,5,25,27,26,82,1005,6,10,2.17
2011,5,2,24,11,68,1006,3,8,0
2011,5,30,29,24,80,1012,6,8,0.12
2011,5,4,29,15,74,1013,5,11,0.03
2011,5,6,28,24,79,1009,4,11,0
2011,5,3,30,26,76,1004,6,11,6.44
2011,5,26,29,26,88,1011,6,11,0
2011,5,26,20,17,61,1014,3,8,0.07
2011,5,9,28,26,89,1001,6,11,0.04
2011,5,14,30,24,83,1007,5,10,0
2011,5,25,23,24,73,1007,4,6,0
2011,5,28,28,26,76,999,5,10,0.38
2011,5,10,28,26,76,1004,6,10,0
2011,5,13,28,26,83,1003,5,13,0.17
2011,5,9,31,22,74,1005,6,8,0
2011,6,19,26,26,80,1001,3,8,0.07
2011,6,1,28,26,79,998,6,6,1.7
2011,6,6,30,23,79,1007,5,11,0.2
2011,6,20,26,26,81,1013,3,14,0
2011,6,4,24,13,75,1013,3,6,0
2011,6,24,24,26,79,1005,4,18,0
2011,6,18,29,13,70,1008,4,6,17.05
2011,6,18,29,25,79,1011,6,3,0
2011,6,11,28,25,81,1004,4,13,1.04
2011,6,2,29,26,71,1004,5,14,0
2011,6,19,28,25,79,1004,5,8,2.2
2011,6,24,26,15,53,1011,4,3,0
2011,6,4,29,26,80,1005,5,8,0
2011,6,17,23,25,77,1006,6,6,0.02
2011,7,28,29,26,78,996,6,8,0
2011,7,13,28,23,69,1007,6,17,0.72
2011,7,21,23,16,77,1001,5,13,0.08
2011,7,20,27,24,82,1007,6,6,29.07
2011,7,29,31,25,75,1007,5,18,0
2011,8,2,29,27,83,1006,5,10,4.17
2011,8,20,31,14,49,1005,6,6,0
2011,8,27,29,25,79,1005,4,8,0
2011,8,14,31,26,82,1005,4,17,35.38
2011,8,11,29,26,79,1006,6,10,1.65
2011,8,18,29,23,59,1004,5,14,0.05
2011,8,5,29,24,79,1004,6,6,0
2011,8,28,28,26,74,1005,6,11,0.2
2011,9,21,26,14,61,1006,4,5,0
2011,9,28,30,25,83,1008,5,10,1.65
2011,9,25,29,25,75,1008,5,28,0.14
2011,9,27,29,23,69,1008,5,6,0
2011,9,12,31,26,91,1007,6,8,0
2011,9,6,29,15,81,1004,5,5,1.24
2011,9,12,29,26,88,1013,3,5,0
2011,9,17,19,22,74,1005,5,10,0.03
2011,10,8,24,25,78,1014,4,11,0.1
2011,10,26,29,26,79,1012,6,3,1.06
2011,10,5,23,21,78,1004,5,10,0
2011,10,2,31,26,80,998,4,10,0
2011,10,28,24,20,56,1009,3,10,0
2011,11,16,29,26,74,1005,6,11,0.01
2011,11,28,24,14,50,1016,5,3,0
2011,11,21,23,23,75,1012,3,2,0
2011,11,19,28,25,85,1005,5,10,0
2011,12,26,26,25,55,1010,6,10,0
2011,12,4,26,17,73,1001,5,6,0
2011,12,30,27,13,57,1012,6,5,0
2011,12,14,24,10,53,1012,3,3,0
2011,12,22,21,17,48,1014,4,6,0
2011,12,23,26,24,64,1000,5,5,0.12
2011,12,15,27,26,77,1009,4,11,0.06
2011,12,23,24,26,75,1010,4,11,0
2012,1,20,19,16,72,1012,5,2,0
2012,1,20,23,14,58,1013,3,2,0
2012,1,2,27,17,79,1009,6,13,0.14
2012,1,14,24,10,41,1013,3,3,0
2012,1,10,22,15,54,1013,3,8,0
2012,1,28,22,12,44,1014,3,3,0.04
2012,1,21,23,9,53,1016,3,3,0.23
2012,1,18,24,12,39,1013,3,8,0
2012,1,12,24,18,60,1012,4,6,0.03
2012,1,26,25,13,38,1015,3,3,0
2012,1,23,23,11,56,1014,4,6,0.08
2012,1,11,23,15,71,1010,5,8,0
2012,1,30,21,14,45,1014,3,3,0.17
2012,1,22,23,16,42,1014,4,18,0.11
2012,1,14,23,11,50,1013,3,0,0
2012,1,20,26,12,52,1012,4,1,0
2012,1,3,24,11,50,1014,3,1,0
2012,1,17,23,11,75,1014,3,3,0
2012,1,4,23,12,67,1013,2,3,0
2012,1,1,26,16,68,1014,6,3,0
2012,1,19,24,10,47,1011,4,3,0
2012,1,14,26,16,44,1009,3,3,0
2012,1,19,23,14,76,1014,3,3,0
2012,1,10,23,15,54,1012,4,3,0
2012,1,23,29,25,70,1013,4,10,0
2012,1,4,22,24,74,1013,5,0,0
2012,1,2,22,12,45,1015,3,3,0
2012,1,24,22,21,33,1014,3,3,0
2012,1,20,24,12,69,1013,4,2,0
2012,1,6,23,16,55,1014,3,3,0
2012,1,9,23,12,34,1012,3,6,0
2012,1,30,23,8,45,1016,3,6,0
2012,1,21,27,11,51,1014,3,3,0
2012,1,9,23,13,39,1015,3,3,0
2012,1,27,24,13,61,1012,3,8,0
2012,1,24,23,12,49,1016,3,3,0.12
2012,1,17,23,11,72,1015,4,2,0
2012,1,4,24,13,39,1013,3,3,0
2012,1,15,21,22,73,1015,3,6,0
2012,1,20,22,13,51,1012,4,2,0
2012,1,24,22,15,39,1013,4,2,0
2012,1,10,25,13,44,1011,2,2,0
2012,1,12,24,17,43,1013,4,3,0
2012,1,14,22,15,47,1014,4,8,0
2012,1,22,23,12,43,1013,3,3,0
2012,1,29,24,13,60,1011,4,8,0
2012,1,3,23,15,53,1013,5,8,0.04
2012,1,29,22,14,62,1010,6,3,0.35
2012,1,13,26,17,73,1006,4,11,0
2012,1,5,23,12,40,1015,4,3,0.06
2012,1,11,22,24,72,1013,4,6,0
2012,1,20,27,16,75,1012,3,3,0
2012,1,28,31,15,71,1006,4,2,0
2012,1,3,28,17,67,1012,6,11,0
2012,1,26,23,11,40,1013,3,3,0
2012,1,19,23,11,47,1016,2,3,0
2012,1,6,23,11,68,1012,5,8,0
2012,1,10,23,16,77,1010,4,6,0.25
2012,1,27,27,13,50,1012,3,8,0.08
2012,1,24,21,11,44,1013,4,8,0
2012,1,22,22,13,36,1015,3,6,0
2012,1,31,23,14,79,1014,3,8,0
2012,1,28,24,17,69,1013,4,8,0
2012,1,20,24,12,45,1015,4,3,0
2012,1,22,23,13,62,1014,5,5,0.05
2012,1,11,26,16,70,1005,4,6,0
2012,1,15,29,26,77,1012,5,14,0.15
2012,1,6,24,10,50,1013,3,5,0.1
2012,1,21,23,15,70,1014,3,3,0
2012,1,6,24,14,52,1013,3,3,0.06
2012,1,14,23,11,50,1012,3,3,0
2012,1,16,26,15,72,1003,5,3,0
2012,1,29,23,14,43,1016,3,3,0
2012,1,25,23,16,80,1012,4,6,0.03
2012,1,9,26,17,86,1012,5,11,0
2012,1,5,21,14,42,1012,4,3,0.05
2012,1,30,22,13,76,1009,3,6,0
2012,1,23,22,12,49,1015,3,3,0
2012,1,22,23,11,52,1017,4,2,0
2012,1,4,24,10,47,1015,4,3,0.17
2012,1,7,23,13,54,1014,4,8,0
2012,1,22,23,13,53,1014,4,8,0.14
2012,1,27,23,17,64,1014,4,3,0.1
2012,1,23,23,13,69,1007,4,8,0
2012,1,22,22,12,57,1012,3,5,0
2012,1,3,23,10,63,1014,3,3,0
2012,1,3,23,26,67,1013,4,3,0
2012,1,27,23,17,52,1012,3,5,0
2012,1,19,26,11,45,1015,3,11,0
2012,1,22,20,13,54,1010,3,3,0
2012,1,3,24,12,41,1014,3,3,0
2012,1,6,21,10,71,1011,4,8,0.09
2012,1,20,23,13,70,1013,3,6,0
2012,1,17,24,15,79,1011,4,3,0
2012,1,12,23,14,59,1014,4,6,0.05
2012,1,28,22,14,42,1013,4,6,0
2012,1,18,23,23,70,1006,3,3,0
2012,1,20,23,16,47,1012,4,6,0
2012,1,27,21,13,37,1013,2,6,0
2012,1,29,23,10,42,1013,3,5,0.13
2012,2,14,27,15,61,1001,4,2,0.24
2012,2,25,23,11,35,1014,3,3,0
2012,2,25,22,14,48,1012,2,8,0
2012,2,13,22,10,39,1014,3,6,0
2012,2,30,24,13,67,1014,5,13,0
2012,2,23,22,10,50,1010,4,3,0
2012,2,6,23,11,55,1016,4,3,0
2012,2,10,23,14,41,1011,4,8,0
2012,2,21,22,11,49,1014,3,6,0.11
2012,2,12,22,26,42,1010,3,2,0
2012,2,24,22,13,55,1013,3,6,0.04
2012,2,24,23,20,65,1011,4,11,0
2012,2,12,23,24,71,1010,5,6,0.17
2012,2,6,22,12,67,1014,3,3,0
2012,2,4,24,13,45,1013,3,13,0.02
2012,2,27,23,9,49,1016,3,3,0
2012,2,21,23,14,73,1011,6,11,0.05
2012,2,3,23,25,56,1012,3,8,0.1
2012,2,15,24,15,70,1007,3,6,0.13
2012,2,28,22,11,64,1015,3,3,0
2012,2,26,23,11,66,1014,3,8,0.01
2012,2,3,26,15,64,1012,4,5,0
2012,2,6,23,12,68,1013,4,3,0.14
2012,2,22,28,12,61,1012,3,10,0
2012,2,11,22,13,54,1015,4,3,0
2012,2,12,22,10,56,1013,3,6,0
2012,2,6,24,13,57,1012,3,5,0
2012,2,27,22,15,72,1016,3,3,0
2012,2,3,24,15,49,1013,3,3,0
2012,2,21,24,11,38,1013,3,3,0.16
2012,2,5,24,14,50,1012,2,6,0.17
2012,2,21,26,22,48,1008,5,10,0
2012,2,28,21,16,70,1012,4,6,0.01
2012,2,15,23,15,71,1013,4,6,0
2012,2,4,23,12,58,1014,3,6,0
2012,2,17,24,12,50,1015,3,1,0
2012,2,1,22,16,40,1013,3,3,0
2012,2,20,23,15,70,1012,3,6,0
2012,2,30,24,13,44,1012,3,3,0
2012,2,17,26,18,49,1012,3,23,0
2012,2,20,22,14,42,1015,3,2,0
2012,2,25,22,13,45,1014,3,4,0
2012,2,27,27,26,80,1007,6,6,0.05
2012,2,21,22,14,75,1013,4,3,0.11
2012,2,15,26,18,47,1013,4,8,0
2012,2,23,19,12,49,1011,3,2,0.02
2012,2,22,24,23,71,1009,3,3,0
2012,2,8,22,11,50,1012,2,3,0
2012,2,25,22,16,47,1008,4,3,0
2012,2,4,24,12,43,1013,3,3,0
2012,2,8,22,14,50,1015,3,3,0.02
2012,2,27,23,12,44,1015,4,1,0.07
2012,2,19,23,15,55,1013,4,6,0
2012,2,18,24,14,42,1014,4,3,0
2012,2,4,23,15,59,1015,4,6,0
2012,2,21,23,14,70,1015,3,3,0
2012,2,25,29,15,56,1013,4,8,0.17
2012,2,9,24,15,65,1010,4,6,0
2012,2,4,23,15,59,1014,4,3,0
2012,2,31,22,18,69,1012,4,8,0
2012,2,25,21,11,43,1018,3,3,0.16
2012,2,28,26,26,74,1013,4,6,0
2012,2,21,23,26,72,1001,5,13,0
2012,2,18,22,11,46,1016,4,2,0
2012,2,22,29,21,61,1007,5,5,0
2012,2,25,22,13,39,1012,3,15,0.09
2012,2,27,23,12,59,1012,4,6,0
2012,2,4,26,17,49,1015,4,3,0.12
2012,2,30,24,13,39,1014,3,3,0
2012,2,17,21,12,38,1013,4,6,0
2012,2,23,27,25,72,1008,2,6,0
2012,2,25,24,15,66,1013,4,13,0
2012,2,5,22,16,56,1014,3,5,0
2012,2,14,22,12,64,1016,3,2,0.08
2012,2,5,19,9,51,1014,2,8,0
2012,2,15,24,13,72,1009,4,10,0.11
2012,2,4,23,10,45,1016,3,3,0
2012,2,21,24,12,43,1011,3,8,0
2012,2,6,22,15,74,1013,3,2,0.12
2012,2,11,26,15,40,1014,3,3,0.08
2012,2,13,24,13,76,1013,4,6,0.08
2012,2,7,26,13,40,1011,3,3,0
2012,2,24,24,11,49,1011,3,3,0
2012,2,5,24,13,40,1013,3,2,0
2012,2,9,24,25,70,1011,3,8,0
2012,2,26,23,10,33,1015,3,3,0
2012,2,22,23,9,39,1015,3,5,0
2012,2,6,21,12,69,1013,4,6,0.01
